date	ammount	category	payment_type	purpose
2025-07-18	440	生活用品	cache	
2025-07-18	7240	生活用品	cache	
2025-07-21	957	食費	cache	
2025-07-30	858	服飾	cache	
2025-08-04	6179	食費	cache	
2025-08-04	1140	外食	cache	
2025-08-03	200	娯楽(アルテ)	paypay	
2025-08-06	159	食費	cache	
2025-08-06	500	娯楽(アルテ)	paypay	
2025-08-06	172	食費	cache	
2025-08-06	1108	食費	cache	
2025-08-06	749	生活用品	cache	
2025-08-06	1108	食費	card	水2Lx9本
2025-08-06	749	生活用品	card	シャワーカーテン
2025-08-07	3057	食費	cache	調味料（ケチャップ、料理酒など）
2025-08-08	3376	生活用品	card	山善の卓上三面鏡
2025-08-08	1275	食費	cache	パスタや卵
2025-08-08	11500	交際費(富士見)	cache	一人飲み
2025-08-09	15000	交際費(富士見)	cache	2人飲み
2025-08-09	8185	交際費(富士見)	cache	やきとり
2025-08-10	6000	交際費(富士見)	cache	3人飲み
2025-08-10	5000	交際費(富士見)	cache	2人飲み
2025-08-16	1320	交際費(富士見)	cache	ラーメンと半チャーハン
2025-08-10	162	生活用品	cache	台所用固形石鹸
2025-08-10	330	生活用品	cache	フトン用ハンガー
2025-08-11	980	娯楽(本)	card	kindle unlimited
2025-08-11	281	食費	cache	牛乳
2025-08-12	4230	生活用品	card	ヨーグルトメーカー
2025-08-12	629	生活用品	card	ユニットバス用ヘアキャッチャー
2025-08-13	7214	食費	cache	米・調味料など
2025-08-13	987	食費	cache	サバ缶・R1・ビール
2025-08-13	2880	生活用品	card	排水ゴミ受け
2025-08-13	14980	生活用品	card	Chromecast with GoogleTV(HD)
2025-08-14	205	食費	cache	サラダ
2025-08-15	2682	食費	cache	バター・玉ねぎなど
2025-08-15	1360	外食	cache	そばｘ２
2025-08-16	328	食費(お菓子)	cache	飲み物とお菓子
2025-08-16	800	交際費(外食)	cache	スイートポテトとコーヒー
2025-08-16	1140	交際費(外食)	cache	辛味噌ネギラーメンと半ライス
2025-08-17	4530	交際費(子供)	cache	子供の水着
2025-08-17	3741	交際費(姉)	cache	姉の家用にビール１２本ぐらい
2025-08-17	3618	交際費(姉)	cache	子どもたち用にアイス
2025-08-17	1166	交際費(子供)	cache	帰省するための交通費
2025-08-17	1320	交際費(姉)	card	ハンギョドンのマスコットホルダー
2025-08-18	2596	交際費(子供)	cache	帰省するための交通費(IC・大人・子供）
2025-08-18	1100	交際費(子供)	cache	プール
2025-08-18	30000	交際費(子供)	cache	生活費を送金
2025-08-18	2369	食費	cache	にんにくとか卵・モッツアレラチーズなど
2025-08-18	1811	交際費(姉)	card	めんつゆ唐船峡1000mlx2
2025-08-18	1680	生活用品	card	自転車ライト
2025-08-19	1000	外食	cache	仕事の昼休みに外食
2025-08-19	500	娯楽(アルテ)	cache	フリスビー参加費
