month,category,amount
2025-07,服飾,858
2025-07,生活用品,7680
2025-07,食費,957
2025-08,交際費,16872
2025-08,交際費(外食),1940
2025-08,交際費(姉),10490
2025-08,交際費(山),47005
2025-08,交際費(田),39392
2025-08,外食,5631
2025-08,娯楽([),1200
2025-08,娯楽(本),980
2025-08,家賃,40105
2025-08,家賃(保証委託料),19815
2025-08,手数料,110
2025-08,生活用品,30364
2025-08,通信費,456
2025-08,食費,32077
2025-08,食費(お菓子),328
2025-09,交通費(帰省),1980
2025-09,交際費,5007
2025-09,交際費(会社),23000
2025-09,交際費(山),164801
2025-09,交際費(田),30000
2025-09,保険料,12879
2025-09,光熱費,6531
2025-09,医療費,710
2025-09,娯楽,2737
2025-09,娯楽(ChatGPT)(サブスク),3389
2025-09,娯楽([),32402
2025-09,娯楽(アニメ)(サブスク),1037
2025-09,娯楽(サッカー)(サブスク),3200
2025-09,娯楽(サブスク),2292
2025-09,娯楽(ダーツ),1174
2025-09,娯楽(本),2738
2025-09,娯楽(本)(サブスク),980
2025-09,手数料,1100
2025-09,美容費,998
2025-09,通信費,1354
2025-09,食費,27150
2025-09,食費(お菓子),689
2025-09,食費(外食),1500
2025-10,交際費,4392
2025-10,交際費(マ),13000
2025-10,交際費(山),27120
2025-10,交際費(田),30000
2025-10,保険料,12879
2025-10,光熱費,1526
2025-10,娯楽,2360
2025-10,娯楽(ChatGPT)(サブスク),3477
2025-10,娯楽([),2899
2025-10,娯楽(youtube)(サブスク),1280
2025-10,娯楽(アニメ)(サブスク),1037
2025-10,娯楽(サッカー)(サブスク),3200
2025-10,娯楽(サブスク),1012
2025-10,娯楽(サーバー管理費),3102
2025-10,娯楽(スポーツ),2981
2025-10,娯楽(本),1037
2025-10,娯楽(本)(サブスク),980
2025-10,娯楽(漫画),9800
2025-10,手数料,330
2025-10,水道光熱費,1398
2025-10,生活用品,2032
2025-10,通信費,1831
2025-10,通信費(サブスク),700
2025-10,食費,24007
2025-10,食費(外食),3270
2025-11,交際費([),3650
2025-11,交際費(ak),40800
2025-11,交際費(kzk),13000
2025-11,交際費(mr),17000
2025-11,交際費(マ),20300
2025-11,交際費(山),50600
2025-11,光熱費,2444
2025-11,娯楽(PQ),6240
2025-11,娯楽([),1000
2025-11,娯楽(pkp),3020
2025-11,手数料,1190
2025-11,日用品,598
2025-11,歯医者,4090
2025-11,被服費,990
2025-11,食費,28641
2025-11,食費(おやつ),1056
2025-11,食費(外食),4835
2025-11,食費(宅飲み),4266
2025-12,交際費,626
2025-12,交際費(会社),10000
2025-12,光熱費,2134
2025-12,娯楽([),1718
2025-12,娯楽(山),17560
2025-12,手数料,110
2025-12,日用品,1062
2025-12,食費,22490
2025-12,食費(お菓子),1598
2025-12,食費(外食),6697
2026-01,交際費(田),50000
2026-01,娯楽([),500
2026-01,娯楽(山),65000
2026-01,家賃,40105
2026-01,日用品,594
2026-01,食費,16803
2026-01,食費(お菓子),2205
2026-01,食費(外食),7169
